統計期,年份,月份,廠牌,數量
107年 1月,107年,1,APRILIA,12
107年 2月,107年,2,APRILIA,16
107年 3月,107年,3,APRILIA,14
107年 4月,107年,4,APRILIA,7
107年 5月,107年,5,APRILIA,12
107年 6月,107年,6,APRILIA,6
107年 7月,107年,7,APRILIA,17
107年 8月,107年,8,APRILIA,10
107年 9月,107年,9,APRILIA,7
107年 10月,107年,10,APRILIA,14
107年 11月,107年,11,APRILIA,5
107年 12月,107年,12,APRILIA,1
108年 1月,108年,1,APRILIA,7
108年 2月,108年,2,APRILIA,2
108年 3月,108年,3,APRILIA,3
108年 4月,108年,4,APRILIA,9
108年 5月,108年,5,APRILIA,4
108年 6月,108年,6,APRILIA,0
108年 7月,108年,7,APRILIA,2
108年 8月,108年,8,APRILIA,0
108年 9月,108年,9,APRILIA,0
108年 10月,108年,10,APRILIA,4
108年 11月,108年,11,APRILIA,5
108年 12月,108年,12,APRILIA,6
109年 1月,109年,1,APRILIA,4
109年 2月,109年,2,APRILIA,7
109年 3月,109年,3,APRILIA,3
109年 4月,109年,4,APRILIA,4
109年 5月,109年,5,APRILIA,0
109年 6月,109年,6,APRILIA,3
109年 7月,109年,7,APRILIA,3
109年 8月,109年,8,APRILIA,6
109年 9月,109年,9,APRILIA,5
109年 10月,109年,10,APRILIA,1
109年 11月,109年,11,APRILIA,3
109年 12月,109年,12,APRILIA,2
110年 1月,110年,1,APRILIA,1
110年 2月,110年,2,APRILIA,3
110年 3月,110年,3,APRILIA,1
110年 4月,110年,4,APRILIA,5
110年 5月,110年,5,APRILIA,0
110年 6月,110年,6,APRILIA,0
110年 7月,110年,7,APRILIA,1
110年 8月,110年,8,APRILIA,0
110年 9月,110年,9,APRILIA,1
110年 10月,110年,10,APRILIA,12
110年 11月,110年,11,APRILIA,15
110年 12月,110年,12,APRILIA,18
111年 1月,111年,1,APRILIA,99
111年 2月,111年,2,APRILIA,18
111年 3月,111年,3,APRILIA,51
111年 4月,111年,4,APRILIA,65
111年 5月,111年,5,APRILIA,19
111年 6月,111年,6,APRILIA,68
111年 7月,111年,7,APRILIA,46
111年 8月,111年,8,APRILIA,31
111年 9月,111年,9,APRILIA,53
111年 10月,111年,10,APRILIA,42
111年 11月,111年,11,APRILIA,33
111年 12月,111年,12,APRILIA,19
112年 1月,112年,1,APRILIA,65
112年 2月,112年,2,APRILIA,40
112年 3月,112年,3,APRILIA,49
112年 4月,112年,4,APRILIA,32
112年 5月,112年,5,APRILIA,32
112年 6月,112年,6,APRILIA,28
112年 7月,112年,7,APRILIA,19
112年 8月,112年,8,APRILIA,28
107年 1月,107年,1,BMW,150
107年 2月,107年,2,BMW,31
107年 3月,107年,3,BMW,48
107年 4月,107年,4,BMW,95
107年 5月,107年,5,BMW,189
107年 6月,107年,6,BMW,123
107年 7月,107年,7,BMW,67
107年 8月,107年,8,BMW,104
107年 9月,107年,9,BMW,73
107年 10月,107年,10,BMW,79
107年 11月,107年,11,BMW,87
107年 12月,107年,12,BMW,93
108年 1月,108年,1,BMW,88
108年 2月,108年,2,BMW,39
108年 3月,108年,3,BMW,60
108年 4月,108年,4,BMW,54
