統計期,年份,月份,廠牌,數量
107年 1月,107年,1,APRILIA,1521
107年 2月,107年,2,APRILIA,1534
107年 3月,107年,3,APRILIA,1547
107年 4月,107年,4,APRILIA,1555
107年 5月,107年,5,APRILIA,1566
107年 6月,107年,6,APRILIA,1569
107年 7月,107年,7,APRILIA,1587
107年 8月,107年,8,APRILIA,1594
107年 9月,107年,9,APRILIA,1600
107年 10月,107年,10,APRILIA,1613
107年 11月,107年,11,APRILIA,1618
107年 12月,107年,12,APRILIA,1619
108年 1月,108年,1,APRILIA,1623
108年 2月,108年,2,APRILIA,1623
108年 3月,108年,3,APRILIA,1620
108年 4月,108年,4,APRILIA,1627
108年 5月,108年,5,APRILIA,1627
108年 6月,108年,6,APRILIA,1626
108年 7月,108年,7,APRILIA,1625
108年 8月,108年,8,APRILIA,1622
108年 9月,108年,9,APRILIA,1617
108年 10月,108年,10,APRILIA,1621
108年 11月,108年,11,APRILIA,1621
108年 12月,108年,12,APRILIA,1625
109年 1月,109年,1,APRILIA,1626
109年 2月,109年,2,APRILIA,1633
109年 3月,109年,3,APRILIA,1631
109年 4月,109年,4,APRILIA,1630
109年 5月,109年,5,APRILIA,1626
109年 6月,109年,6,APRILIA,1623
109年 7月,109年,7,APRILIA,1622
109年 8月,109年,8,APRILIA,1628
109年 9月,109年,9,APRILIA,1632
109年 10月,109年,10,APRILIA,1633
109年 11月,109年,11,APRILIA,1629
109年 12月,109年,12,APRILIA,1623
110年 1月,110年,1,APRILIA,1624
110年 2月,110年,2,APRILIA,1622
110年 3月,110年,3,APRILIA,1621
110年 4月,110年,4,APRILIA,1623
110年 5月,110年,5,APRILIA,1616
110年 6月,110年,6,APRILIA,1619
110年 7月,110年,7,APRILIA,1613
110年 8月,110年,8,APRILIA,1613
110年 9月,110年,9,APRILIA,1610
110年 10月,110年,10,APRILIA,1620
110年 11月,110年,11,APRILIA,1626
110年 12月,110年,12,APRILIA,1643
111年 1月,111年,1,APRILIA,1737
111年 2月,111年,2,APRILIA,1753
111年 3月,111年,3,APRILIA,1801
111年 4月,111年,4,APRILIA,1863
111年 5月,111年,5,APRILIA,1881
111年 6月,111年,6,APRILIA,1946
111年 7月,111年,7,APRILIA,1988
111年 8月,111年,8,APRILIA,2012
111年 9月,111年,9,APRILIA,2053
111年 10月,111年,10,APRILIA,2094
111年 11月,111年,11,APRILIA,2120
111年 12月,111年,12,APRILIA,2131
112年 1月,112年,1,APRILIA,2190
112年 2月,112年,2,APRILIA,2226
112年 3月,112年,3,APRILIA,2267
112年 4月,112年,4,APRILIA,2294
112年 5月,112年,5,APRILIA,2321
112年 6月,112年,6,APRILIA,2343
112年 7月,112年,7,APRILIA,2361
112年 8月,112年,8,APRILIA,2388
107年 1月,107年,1,BMW,8748
107年 2月,107年,2,BMW,8777
107年 3月,107年,3,BMW,8816
107年 4月,107年,4,BMW,8902
107年 5月,107年,5,BMW,9080
107年 6月,107年,6,BMW,9196
107年 7月,107年,7,BMW,9258
107年 8月,107年,8,BMW,9356
107年 9月,107年,9,BMW,9423
107年 10月,107年,10,BMW,9491
107年 11月,107年,11,BMW,9562
107年 12月,107年,12,BMW,9654
108年 1月,108年,1,BMW,9738
108年 2月,108年,2,BMW,9766
108年 3月,108年,3,BMW,9822
108年 4月,108年,4,BMW,9867
108年 5月,108年,5,BMW,9917
108年 6月,108年,6,BMW,9965
108年 7月,108年,7,BMW,10013
108年 8月,108年,8,BMW,10039
108年 9月,108年,9,BMW,10097
108年 10月,108年,10,BMW,10168
108年 11月,108年,11,BMW,10279
108年 12月,108年,12,BMW,10342
109年 1月,109年,1,BMW,10381
109年 2月,109年,2,BMW,10443
109年 3月,109年,3,BMW,10513
109年 4月,109年,4,BMW,10585
109年 5月,109年,5,BMW,10651
109年 6月,109年,6,BMW,10710
109年 7月,109年,7,BMW,10770
109年 8月,109年,8,BMW,10800
109年 9月,109年,9,BMW,10905
109年 10月,109年,10,BMW,10965
109年 11月,109年,11,BMW,11071
109年 12月,109年,12,BMW,11181
110年 1月,110年,1,BMW,11210
110年 2月,110年,2,BMW,11258
110年 3月,110年,3,BMW,11276
110年 4月,110年,4,BMW,11290
110年 5月,110年,5,BMW,11311
110年 6月,110年,6,BMW,11349
110年 7月,110年,7,BMW,11381
110年 8月,110年,8,BMW,11425
110年 9月,110年,9,BMW,11539
110年 10月,110年,10,BMW,11648
110年 11月,110年,11,BMW,11790
110年 12月,110年,12,BMW,11838
111年 1月,111年,1,BMW,11881
111年 2月,111年,2,BMW,11895
111年 3月,111年,3,BMW,11916
111年 4月,111年,4,BMW,11925
111年 5月,111年,5,BMW,12009
