統計期,小客車總計
107年 1月,43801
107年 2月,24380
107年 3月,34508
107年 4月,30559
107年 5月,31346
107年 6月,33541
107年 7月,38120
107年 8月,22084
107年 9月,26184
107年 10月,30215
107年 11月,31526
107年 12月,37819
108年 1月,39270
108年 2月,16901
108年 3月,27850
108年 4月,29979
108年 5月,33114
108年 6月,33622
108年 7月,42742
108年 8月,20655
108年 9月,28138
108年 10月,35660
108年 11月,35723
108年 12月,40333
109年 1月,35022
109年 2月,22726
109年 3月,31715
109年 4月,26035
109年 5月,28324
109年 6月,36018
109年 7月,38885
109年 8月,30739
109年 9月,31772
109年 10月,34274
109年 11月,40780
109年 12月,40055
110年 1月,44934
110年 2月,23598
110年 3月,37344
110年 4月,32288
110年 5月,28975
110年 6月,23002
110年 7月,32144
110年 8月,28173
110年 9月,34878
110年 10月,29985
110年 11月,34057
110年 12月,33540
111年 1月,36248
111年 2月,20572
111年 3月,33495
111年 4月,29657
111年 5月,25542
111年 6月,27235
111年 7月,31722
111年 8月,29274
111年 9月,29872
111年 10月,30964
111年 11月,33648
111年 12月,36002
112年 1月,30540
112年 2月,28371
112年 3月,38057
112年 4月,33413
112年 5月,37028
112年 6月,37278
112年 7月,37144
112年 8月,30546
