統計期,普重總計
107年 1月,66845
107年 2月,46694
107年 3月,78681
107年 4月,57230
107年 5月,68613
107年 6月,66647
107年 7月,77762
107年 8月,69309
107年 9月,78023
107年 10月,70507
107年 11月,60002
107年 12月,87520
108年 1月,65532
108年 2月,48151
108年 3月,69240
108年 4月,67804
108年 5月,66903
108年 6月,67224
108年 7月,84193
108年 8月,65475
108年 9月,82504
108年 10月,75435
108年 11月,70187
108年 12月,96909
109年 1月,44714
109年 2月,63209
109年 3月,71357
109年 4月,63253
109年 5月,66276
109年 6月,76742
109年 7月,91970
109年 8月,80672
109年 9月,99117
109年 10月,93729
109年 11月,105363
109年 12月,137570
110年 1月,51371
110年 2月,42256
110年 3月,67667
110年 4月,59547
110年 5月,53324
110年 6月,44062
110年 7月,60296
110年 8月,63494
110年 9月,72322
110年 10月,73699
110年 11月,86336
110年 12月,96785
111年 1月,43399
111年 2月,42895
111年 3月,66118
111年 4月,55293
111年 5月,45615
111年 6月,53993
111年 7月,62301
111年 8月,62707
111年 9月,71111
111年 10月,59660
111年 11月,61002
111年 12月,66836
112年 1月,42476
112年 2月,55531
112年 3月,69021
112年 4月,48803
112年 5月,62565
112年 6月,63164
112年 7月,63413
112年 8月,80658
