統計期,大重總計
107年 1月,"1,454"
107年 2月,822
107年 3月,"1,596"
107年 4月,"1,240"
107年 5月,"1,593"
107年 6月,"1,700"
107年 7月,"1,419"
107年 8月,"1,658"
107年 9月,"1,292"
107年 10月,"1,320"
107年 11月,"1,076"
107年 12月,"1,399"
108年 1月,"1,446"
108年 2月,"1,020"
108年 3月,"1,429"
108年 4月,"1,636"
108年 5月,"1,637"
108年 6月,"1,338"
108年 7月,"1,625"
108年 8月,"1,179"
108年 9月,"1,297"
108年 10月,"1,400"
108年 11月,"1,320"
108年 12月,"1,170"
109年 1月,"1,184"
109年 2月,"1,682"
109年 3月,"1,717"
109年 4月,"2,017"
109年 5月,"1,801"
109年 6月,"2,474"
109年 7月,"2,471"
109年 8月,"1,843"
109年 9月,"2,260"
109年 10月,"1,591"
109年 11月,"1,587"
109年 12月,"1,885"
110年 1月,"1,022"
110年 2月,963
110年 3月,"1,755"
110年 4月,"2,564"
110年 5月,"2,522"
110年 6月,"2,637"
110年 7月,"2,118"
110年 8月,"2,206"
110年 9月,"2,856"
110年 10月,"2,405"
110年 11月,"2,429"
110年 12月,"2,179"
111年 1月,"1,950"
111年 2月,"1,007"
111年 3月,"3,066"
111年 4月,"2,017"
111年 5月,"2,052"
111年 6月,"2,209"
111年 7月,"2,339"
111年 8月,"2,551"
111年 9月,"2,999"
111年 10月,"2,747"
111年 11月,"2,613"
111年 12月,"2,351"
112年 1月,"1,324"
112年 2月,"2,352"
112年 3月,"2,951"
112年 4月,"2,076"
112年 5月,"3,110"
112年 6月,"2,542"
112年 7月,"2,502"
112年 8月,"2,450"
