統計期,廠牌,數量
107年 1月,APRILIA,12
107年 2月,APRILIA,16
107年 3月,APRILIA,14
107年 4月,APRILIA,7
107年 5月,APRILIA,12
107年 6月,APRILIA,6
107年 7月,APRILIA,17
107年 8月,APRILIA,10
107年 9月,APRILIA,7
107年 10月,APRILIA,14
107年 11月,APRILIA,5
107年 12月,APRILIA,1
108年 1月,APRILIA,7
108年 2月,APRILIA,2
108年 3月,APRILIA,3
108年 4月,APRILIA,9
108年 5月,APRILIA,4
108年 6月,APRILIA,0
108年 7月,APRILIA,2
108年 8月,APRILIA,0
108年 9月,APRILIA,0
108年 10月,APRILIA,4
108年 11月,APRILIA,5
108年 12月,APRILIA,6
109年 1月,APRILIA,4
109年 2月,APRILIA,7
109年 3月,APRILIA,3
109年 4月,APRILIA,4
109年 5月,APRILIA,0
109年 6月,APRILIA,3
109年 7月,APRILIA,3
109年 8月,APRILIA,6
109年 9月,APRILIA,5
109年 10月,APRILIA,1
109年 11月,APRILIA,3
109年 12月,APRILIA,2
110年 1月,APRILIA,1
110年 2月,APRILIA,3
110年 3月,APRILIA,1
110年 4月,APRILIA,5
110年 5月,APRILIA,0
110年 6月,APRILIA,0
110年 7月,APRILIA,1
110年 8月,APRILIA,0
110年 9月,APRILIA,1
110年 10月,APRILIA,12
110年 11月,APRILIA,15
110年 12月,APRILIA,18
111年 1月,APRILIA,99
111年 2月,APRILIA,18
111年 3月,APRILIA,51
111年 4月,APRILIA,65
111年 5月,APRILIA,19
111年 6月,APRILIA,68
111年 7月,APRILIA,46
111年 8月,APRILIA,31
111年 9月,APRILIA,53
111年 10月,APRILIA,42
111年 11月,APRILIA,33
111年 12月,APRILIA,19
112年 1月,APRILIA,65
112年 2月,APRILIA,40
112年 3月,APRILIA,49
112年 4月,APRILIA,32
112年 5月,APRILIA,32
112年 6月,APRILIA,28
112年 7月,APRILIA,19
112年 8月,APRILIA,28
107年 1月,BMW,150
107年 2月,BMW,31
107年 3月,BMW,48
107年 4月,BMW,95
107年 5月,BMW,189
107年 6月,BMW,123
107年 7月,BMW,67
107年 8月,BMW,104
107年 9月,BMW,73
107年 10月,BMW,79
107年 11月,BMW,87
107年 12月,BMW,93
108年 1月,BMW,88
108年 2月,BMW,39
108年 3月,BMW,60
108年 4月,BMW,54
108年 5月,BMW,65
108年 6月,BMW,57
108年 7月,BMW,61
108年 8月,BMW,35
108年 9月,BMW,71
108年 10月,BMW,80
108年 11月,BMW,118
108年 12月,BMW,73
109年 1月,BMW,50
109年 2月,BMW,61
109年 3月,BMW,88
109年 4月,BMW,87
109年 5月,BMW,69
109年 6月,BMW,68
109年 7月,BMW,65
109年 8月,BMW,41
109年 9月,BMW,113
109年 10月,BMW,71
109年 11月,BMW,115
109年 12月,BMW,128
110年 1月,BMW,36
110年 2月,BMW,53
110年 3月,BMW,36
110年 4月,BMW,36
110年 5月,BMW,37
110年 6月,BMW,49
110年 7月,BMW,39
110年 8月,BMW,66
110年 9月,BMW,111
110年 10月,BMW,122
110年 11月,BMW,140
110年 12月,BMW,57
111年 1月,BMW,47
111年 2月,BMW,22
111年 3月,BMW,30
111年 4月,BMW,34
111年 5月,BMW,91
111年 6月,BMW,120
111年 7月,BMW,67
111年 8月,BMW,72
111年 9月,BMW,129
111年 10月,BMW,66
111年 11月,BMW,116
111年 12月,BMW,52
112年 1月,BMW,25
112年 2月,BMW,46
112年 3月,BMW,87
112年 4月,BMW,69
112年 5月,BMW,80
112年 6月,BMW,83
112年 7月,BMW,95
112年 8月,BMW,61
107年 1月,DUCATI,25
107年 2月,DUCATI,14
107年 3月,DUCATI,31
107年 4月,DUCATI,31
107年 5月,DUCATI,36
107年 6月,DUCATI,20
107年 7月,DUCATI,24
107年 8月,DUCATI,16
107年 9月,DUCATI,25
107年 10月,DUCATI,35
107年 11月,DUCATI,16
107年 12月,DUCATI,19
108年 1月,DUCATI,27
108年 2月,DUCATI,15
108年 3月,DUCATI,20
108年 4月,DUCATI,26
108年 5月,DUCATI,18
108年 6月,DUCATI,20
108年 7月,DUCATI,27
108年 8月,DUCATI,19
108年 9月,DUCATI,22
108年 10月,DUCATI,18
108年 11月,DUCATI,20
108年 12月,DUCATI,20
109年 1月,DUCATI,24
109年 2月,DUCATI,22
109年 3月,DUCATI,19
109年 4月,DUCATI,20
109年 5月,DUCATI,40
109年 6月,DUCATI,22
109年 7月,DUCATI,24
109年 8月,DUCATI,16
109年 9月,DUCATI,24
109年 10月,DUCATI,14
109年 11月,DUCATI,34
109年 12月,DUCATI,37
110年 1月,DUCATI,36
110年 2月,DUCATI,18
110年 3月,DUCATI,14
110年 4月,DUCATI,41
110年 5月,DUCATI,24
110年 6月,DUCATI,26
110年 7月,DUCATI,9
110年 8月,DUCATI,22
110年 9月,DUCATI,38
110年 10月,DUCATI,23
110年 11月,DUCATI,28
110年 12月,DUCATI,27
111年 1月,DUCATI,19
111年 2月,DUCATI,5
111年 3月,DUCATI,26
111年 4月,DUCATI,9
111年 5月,DUCATI,8
111年 6月,DUCATI,17
111年 7月,DUCATI,24
111年 8月,DUCATI,56
111年 9月,DUCATI,30
111年 10月,DUCATI,20
111年 11月,DUCATI,13
111年 12月,DUCATI,16
112年 1月,DUCATI,20
112年 2月,DUCATI,11
112年 3月,DUCATI,9
112年 4月,DUCATI,35
112年 5月,DUCATI,47
112年 6月,DUCATI,22
112年 7月,DUCATI,24
112年 8月,DUCATI,13
107年 1月,HARLEY0DAVIDSON,58
107年 2月,HARLEY0DAVIDSON,28
107年 3月,HARLEY0DAVIDSON,73
107年 4月,HARLEY0DAVIDSON,28
107年 5月,HARLEY0DAVIDSON,67
107年 6月,HARLEY0DAVIDSON,54
107年 7月,HARLEY0DAVIDSON,54
107年 8月,HARLEY0DAVIDSON,66
107年 9月,HARLEY0DAVIDSON,43
107年 10月,HARLEY0DAVIDSON,44
107年 11月,HARLEY0DAVIDSON,41
107年 12月,HARLEY0DAVIDSON,41
108年 1月,HARLEY0DAVIDSON,29
108年 2月,HARLEY0DAVIDSON,21
108年 3月,HARLEY0DAVIDSON,37
108年 4月,HARLEY0DAVIDSON,40
108年 5月,HARLEY0DAVIDSON,29
108年 6月,HARLEY0DAVIDSON,25
108年 7月,HARLEY0DAVIDSON,37
108年 8月,HARLEY0DAVIDSON,44
108年 9月,HARLEY0DAVIDSON,49
108年 10月,HARLEY0DAVIDSON,65
108年 11月,HARLEY0DAVIDSON,44
108年 12月,HARLEY0DAVIDSON,22
109年 1月,HARLEY0DAVIDSON,47
109年 2月,HARLEY0DAVIDSON,43
109年 3月,HARLEY0DAVIDSON,40
109年 4月,HARLEY0DAVIDSON,48
109年 5月,HARLEY0DAVIDSON,51
