統計期,APRILIA,BMW,DUCATI,HARLEY-DAVIDSON,HONDA,HUSQVARNA,INDIAN,KAWASAKI,KTM,MVAGUSTA,SUZUKI,TRIUMPH,YAMAHA
107年 1月底,"1,521","8,748","3,422","6,712","15,311",72,458,"13,502","1,135",559,"8,847","2,629","26,455"
107年 2月底,"1,534","8,777","3,435","6,738","15,413",72,459,"13,617","1,165",563,"8,884","2,643","26,683"
107年 3月底,"1,547","8,816","3,465","6,805","15,647",72,462,"13,805","1,189",568,"8,946","2,674","27,162"
107年 4月底,"1,555","8,902","3,493","6,829","15,782",72,470,"13,929","1,209",574,"9,053","2,691","27,546"
107年 5月底,"1,566","9,080","3,528","6,891","15,930",73,479,"14,029","1,236",579,"9,182","2,705","27,998"
107年 6月底,"1,569","9,196","3,541","6,937","16,122",76,492,"14,301","1,295",590,"9,266","2,723","28,413"
107年 7月底,"1,587","9,258","3,561","6,985","16,460",77,498,"14,388","1,324",594,"9,335","2,748","28,796"
107年 8月底,"1,594","9,356","3,571","7,045","16,772",78,513,"14,691","1,351",601,"9,422","2,770","29,122"
107年 9月底,"1,600","9,423","3,596","7,089","17,005",77,522,"14,836","1,387",606,"9,488","2,803","29,423"
107年 10月底,"1,613","9,491","3,625","7,129","17,271",81,526,"14,925","1,422",609,"9,531","2,832","29,703"
107年 11月底,"1,618","9,562","3,635","7,165","17,453",82,533,"15,026","1,447",608,"9,581","2,870","29,963"
107年 12月底,"1,619","9,654","3,649","7,178","17,648",83,548,"15,269","1,487",609,"9,651","2,913","30,290"
108年 1月底,"1,623","9,738","3,678","7,206","17,858",85,553,"15,283","1,521",610,"9,735","2,952","30,635"
108年 2月底,"1,623","9,766","3,684","7,226","18,064",89,555,"15,394","1,538",618,"9,773","2,971","30,837"
108年 3月底,"1,620","9,822","3,699","7,255","18,289",93,560,"15,591","1,570",622,"9,818","2,998","31,218"
108年 4月底,"1,627","9,867","3,726","7,289","18,844",103,571,"15,724","1,592",625,"9,863","3,039","31,534"
108年 5月底,"1,627","9,917","3,746","7,311","19,189",121,578,"16,138","1,605",632,"9,916","3,065","31,824"
