統計期,廠牌,數量
107年 1月,APRILIA,"1,521"
107年 2月,APRILIA,"1,534"
107年 3月,APRILIA,"1,547"
107年 4月,APRILIA,"1,555"
107年 5月,APRILIA,"1,566"
107年 6月,APRILIA,"1,569"
107年 7月,APRILIA,"1,587"
107年 8月,APRILIA,"1,594"
107年 9月,APRILIA,"1,600"
107年 10月,APRILIA,"1,613"
107年 11月,APRILIA,"1,618"
107年 12月,APRILIA,"1,619"
108年 1月,APRILIA,"1,623"
108年 2月,APRILIA,"1,623"
108年 3月,APRILIA,"1,620"
108年 4月,APRILIA,"1,627"
108年 5月,APRILIA,"1,627"
108年 6月,APRILIA,"1,626"
108年 7月,APRILIA,"1,625"
108年 8月,APRILIA,"1,622"
108年 9月,APRILIA,"1,617"
108年 10月,APRILIA,"1,621"
108年 11月,APRILIA,"1,621"
108年 12月,APRILIA,"1,625"
109年 1月,APRILIA,"1,626"
109年 2月,APRILIA,"1,633"
109年 3月,APRILIA,"1,631"
109年 4月,APRILIA,"1,630"
109年 5月,APRILIA,"1,626"
109年 6月,APRILIA,"1,623"
109年 7月,APRILIA,"1,622"
109年 8月,APRILIA,"1,628"
109年 9月,APRILIA,"1,632"
109年 10月,APRILIA,"1,633"
109年 11月,APRILIA,"1,629"
109年 12月,APRILIA,"1,623"
110年 1月,APRILIA,"1,624"
110年 2月,APRILIA,"1,622"
110年 3月,APRILIA,"1,621"
110年 4月,APRILIA,"1,623"
110年 5月,APRILIA,"1,616"
110年 6月,APRILIA,"1,619"
110年 7月,APRILIA,"1,613"
110年 8月,APRILIA,"1,613"
110年 9月,APRILIA,"1,610"
110年 10月,APRILIA,"1,620"
110年 11月,APRILIA,"1,626"
110年 12月,APRILIA,"1,643"
111年 1月,APRILIA,"1,737"
111年 2月,APRILIA,"1,753"
111年 3月,APRILIA,"1,801"
111年 4月,APRILIA,"1,863"
111年 5月,APRILIA,"1,881"
111年 6月,APRILIA,"1,946"
111年 7月,APRILIA,"1,988"
111年 8月,APRILIA,"2,012"
111年 9月,APRILIA,"2,053"
111年 10月,APRILIA,"2,094"
111年 11月,APRILIA,"2,120"
111年 12月,APRILIA,"2,131"
112年 1月,APRILIA,"2,190"
112年 2月,APRILIA,"2,226"
112年 3月,APRILIA,"2,267"
112年 4月,APRILIA,"2,294"
112年 5月,APRILIA,"2,321"
112年 6月,APRILIA,"2,343"
112年 7月,APRILIA,"2,361"
112年 8月,APRILIA,"2,388"
107年 1月,BMW,"8,748"
107年 2月,BMW,"8,777"
107年 3月,BMW,"8,816"
107年 4月,BMW,"8,902"
107年 5月,BMW,"9,080"
107年 6月,BMW,"9,196"
107年 7月,BMW,"9,258"
107年 8月,BMW,"9,356"
