統計期,普重總計
107年 1月,"66,845"
107年 2月,"46,694"
107年 3月,"78,681"
107年 4月,"57,230"
107年 5月,"68,613"
107年 6月,"66,647"
107年 7月,"77,762"
107年 8月,"69,309"
107年 9月,"78,023"
107年 10月,"70,507"
107年 11月,"60,002"
107年 12月,"87,520"
108年 1月,"65,532"
108年 2月,"48,151"
108年 3月,"69,240"
108年 4月,"67,804"
108年 5月,"66,903"
108年 6月,"67,224"
108年 7月,"84,193"
108年 8月,"65,475"
108年 9月,"82,504"
108年 10月,"75,435"
108年 11月,"70,187"
108年 12月,"96,909"
109年 1月,"44,714"
109年 2月,"63,209"
109年 3月,"71,357"
109年 4月,"63,253"
109年 5月,"66,276"
109年 6月,"76,742"
109年 7月,"91,970"
109年 8月,"80,672"
109年 9月,"99,117"
109年 10月,"93,729"
109年 11月,"105,363"
109年 12月,"137,570"
110年 1月,"51,371"
110年 2月,"42,256"
110年 3月,"67,667"
110年 4月,"59,547"
110年 5月,"53,324"
110年 6月,"44,062"
110年 7月,"60,296"
110年 8月,"63,494"
110年 9月,"72,322"
110年 10月,"73,699"
110年 11月,"86,336"
110年 12月,"96,785"
111年 1月,"43,399"
111年 2月,"42,895"
111年 3月,"66,118"
111年 4月,"55,293"
111年 5月,"45,615"
111年 6月,"53,993"
111年 7月,"62,301"
111年 8月,"62,707"
111年 9月,"71,111"
111年 10月,"59,660"
111年 11月,"61,002"
111年 12月,"66,836"
112年 1月,"42,476"
112年 2月,"55,531"
112年 3月,"69,021"
112年 4月,"48,803"
112年 5月,"62,565"
112年 6月,"63,164"
112年 7月,"63,413"
112年 8月,"80,658"
